Combo,Mins,Avg_Poss,NetRtg,ORtg,DRtg,PF_100,PA_100,FGM_100,FGA_100,FG3M_100,FG3A_100,FTM_100,FTA_100,ORB_100,DRB_100,AST_100,STL_100,BLK_100,TOV_100,Foul_100,REB_100,Team
"Airion Simmons, Ali Abdou Dibba, Damien Daniels",330.0,644.5,1.31,95.61815336463224,94.3076923076923,95.62,95.93,54.15,101.72,7.67,22.69,0.0,0.0,14.08,27.39,0.0,9.7,1.41,12.36,26.45,41.47,Abilene Christian Wildcats
"Airion Simmons, Ali Abdou Dibba, Joe Pleasant",330.0,644.5,1.31,95.61815336463224,94.3076923076923,95.62,95.93,54.15,101.72,7.67,22.69,0.0,0.0,14.08,27.39,0.0,9.7,1.41,12.36,26.45,41.47,Abilene Christian Wildcats
"Airion Simmons, Ali Abdou Dibba, Tobias Cameron",330.0,644.5,1.31,95.61815336463224,94.3076923076923,95.62,95.93,54.15,101.72,7.67,22.69,0.0,0.0,14.08,27.39,0.0,9.7,1.41,12.36,26.45,41.47,Abilene Christian Wildcats
"Ali Abdou Dibba, Damien Daniels, Hunter Jack Madden",80.0,169.5,0.7,81.76470588235294,81.06508875739645,81.76,80.59,49.41,94.71,5.88,24.12,0.0,0.0,9.41,24.71,0.0,11.76,4.12,14.71,25.88,34.12,Abilene Christian Wildcats
"Ali Abdou Dibba, Hunter Jack Madden, Immanuel Allen",80.0,169.5,0.7,81.76470588235294,81.06508875739645,81.76,80.59,49.41,94.71,5.88,24.12,0.0,0.0,9.41,24.71,0.0,11.76,4.12,14.71,25.88,34.12,Abilene Christian Wildcats
"Ali Abdou Dibba, Hunter Jack Madden, Joe Pleasant",80.0,169.5,0.7,81.76470588235294,81.06508875739645,81.76,80.59,49.41,94.71,5.88,24.12,0.0,0.0,9.41,24.71,0.0,11.76,4.12,14.71,25.88,34.12,Abilene Christian Wildcats
"Ali Abdou Dibba, Joe Pleasant, Tobias Cameron",370.0,747.5,0.6,94.28571428571428,93.6842105263158,94.29,96.87,53.88,101.36,7.35,22.31,0.0,0.0,13.61,25.58,0.0,10.2,1.63,12.24,27.62,39.19,Abilene Christian Wildcats
"Ali Abdou Dibba, Damien Daniels, Tobias Cameron",370.0,747.5,0.6,94.28571428571428,93.6842105263158,94.29,96.87,53.88,101.36,7.35,22.31,0.0,0.0,13.61,25.58,0.0,10.2,1.63,12.24,27.62,39.19,Abilene Christian Wildcats
"Ali Abdou Dibba, Damien Daniels, Joe Pleasant",450.0,917.0,0.55,91.93370165745857,91.3885898815931,91.93,93.81,53.04,100.11,7.07,22.65,0.0,0.0,12.82,25.41,0.0,10.5,2.1,12.71,27.29,38.23,Abilene Christian Wildcats
"Damien Daniels, Hunter Jack Madden, Immanuel Allen",120.0,244.0,-0.64,85.53719008264463,86.1788617886179,85.54,87.6,48.76,96.28,6.61,25.21,0.0,0.0,11.57,26.45,0.0,9.92,4.13,15.29,26.86,38.02,Abilene Christian Wildcats
"Damien Daniels, Hunter Jack Madden, Joe Pleasant",120.0,244.0,-0.64,85.53719008264463,86.1788617886179,85.54,87.6,48.76,96.28,6.61,25.21,0.0,0.0,11.57,26.45,0.0,9.92,4.13,15.29,26.86,38.02,Abilene Christian Wildcats
"Hunter Jack Madden, Immanuel Allen, Joe Pleasant",120.0,244.0,-0.64,85.53719008264463,86.1788617886179,85.54,87.6,48.76,96.28,6.61,25.21,0.0,0.0,11.57,26.45,0.0,9.92,4.13,15.29,26.86,38.02,Abilene Christian Wildcats
"Ali Abdou Dibba, Immanuel Allen, Joe Pleasant",120.0,272.5,-1.51,83.0827067669173,84.58781362007169,83.08,88.72,50.38,96.24,5.64,22.56,0.0,0.0,9.77,20.68,0.0,12.41,3.76,13.53,29.32,30.45,Abilene Christian Wildcats
"Ali Abdou Dibba, Damien Daniels, Immanuel Allen",120.0,272.5,-1.51,83.0827067669173,84.58781362007169,83.08,88.72,50.38,96.24,5.64,22.56,0.0,0.0,9.77,20.68,0.0,12.41,3.76,13.53,29.32,30.45,Abilene Christian Wildcats
"Airion Simmons, Joe Pleasant, Tobias Cameron",530.0,1031.0,-2.76,90.8023483365949,93.5576923076923,90.8,95.21,50.59,99.61,7.93,23.97,0.0,0.0,13.31,28.08,0.0,9.59,1.86,13.7,26.22,41.39,Abilene Christian Wildcats
"Airion Simmons, Damien Daniels, Tobias Cameron",530.0,1031.0,-2.76,90.8023483365949,93.5576923076923,90.8,95.21,50.59,99.61,7.93,23.97,0.0,0.0,13.31,28.08,0.0,9.59,1.86,13.7,26.22,41.39,Abilene Christian Wildcats
"Airion Simmons, Damien Daniels, Joe Pleasant",530.0,1031.0,-2.76,90.8023483365949,93.5576923076923,90.8,95.21,50.59,99.61,7.93,23.97,0.0,0.0,13.31,28.08,0.0,9.59,1.86,13.7,26.22,41.39,Abilene Christian Wildcats
"Damien Daniels, Joe Pleasant, Tobias Cameron",610.0,1208.5,-2.89,90.58823529411765,93.480032599837,90.59,96.39,50.5,99.58,7.73,23.87,0.0,0.0,13.28,27.06,0.0,9.66,2.1,13.7,27.14,40.34,Abilene Christian Wildcats
