athlete_id,o_rapm,d_rapm,rapm,athlete_display_name,team_id,team_display_name,total_poss
5041935,3.94,3.11,7.05,Cameron Boozer,150,Duke Blue Devils,1856.2861140095285
5175737,3.24,3.38,6.62,Yaxel Lendeborg,130,Michigan Wolverines,1782.1195491963215
5082206,3.0,3.08,6.08,Brayden Burries,12,Arizona Wildcats,1771.9399109140943
5061585,3.32,2.73,6.05,Isaiah Evans,150,Duke Blue Devils,1575.0598481546724
5105571,2.77,3.23,5.99,Henri Veesaar,153,North Carolina Tar Heels,1568.6933698059088
4917097,3.89,2.03,5.92,Robbie Avila,139,Saint Louis Billikens,1491.0509711922261
5041953,2.83,3.06,5.9,Koa Peat,12,Arizona Wildcats,1521.1153358864613
5238195,3.26,2.6,5.86,Boogie Fland,57,Florida Gators,1750.292472831706
4848637,2.81,3.03,5.84,Milan Momcilovic,66,Iowa State Cyclones,1706.7510889459627
5254165,4.13,1.67,5.8,Keaton Wagler,356,Illinois Fighting Illini,1758.9017756785106
5105401,3.26,2.46,5.72,MJ Collins Jr.,328,Utah State Aggies,1761.3977026969017
4432737,2.55,3.14,5.69,Jaden Bradley,12,Arizona Wildcats,1815.1274716906823
5183875,2.82,2.86,5.68,Joshua Dent,2608,Saint Mary's Gaels,1893.9598034101969
4870564,2.96,2.68,5.64,Joshua Jefferson,66,Iowa State Cyclones,1819.5755491196087
5105853,3.3,2.16,5.45,Fletcher Loyer,2509,Purdue Boilermakers,1672.7708747938584
5174954,1.32,3.97,5.29,Motiejus Krivas,12,Arizona Wildcats,1487.0172118751875
5287474,2.01,3.25,5.26,Dame Sarr,150,Duke Blue Devils,1269.3808581793944
4711255,2.66,2.59,5.25,Jeremy Fears Jr.,127,Michigan State Spartans,1695.8204331716165
5106058,1.9,3.27,5.17,Emanuel Sharp,248,Houston Cougars,1623.3934323691278
5109789,3.02,2.1,5.12,Jake Ensminger,2541,Santa Clara Broncos,1474.8321569816626
5175171,2.49,2.62,5.11,Quentin Jones,139,Saint Louis Billikens,1533.5450377954444
5044426,1.79,3.3,5.1,Flory Bidunga,2305,Kansas Jayhawks,1763.7956156162893
5149077,3.34,1.74,5.09,Kingston Flemings,248,Houston Cougars,1754.6788952053607
4858604,2.22,2.85,5.08,Pryce Sandfort,158,Nebraska Cornhuskers,1772.0816961727712
5241590,3.77,1.31,5.08,Terry Anderson,2272,High Point Panthers,1603.7106828492724
5241364,2.97,2.1,5.07,Bennett Stirtz,2294,Iowa Hawkeyes,1928.592757722964
5105847,3.24,1.82,5.06,Evan Mahaffey,2006,Akron Zips,1682.6784701109689
4873209,1.86,3.16,5.02,Patrick Ngongba II,150,Duke Blue Devils,1073.1718134023888
5311896,2.49,2.52,5.01,Ivan Kharchenkov,12,Arizona Wildcats,1624.9665109712996
5175591,3.69,1.27,4.95,C.J. Cox,2509,Purdue Boilermakers,1379.7037921450833
5174971,1.97,2.98,4.95,Rueben Chinyelu,57,Florida Gators,1446.8576427059118
5041954,2.09,2.82,4.9,Trey McKenney,130,Michigan Wolverines,1317.6015840260688
4869764,2.9,1.97,4.86,Elliot Cadeau,130,Michigan Wolverines,1575.5916298167685
4683147,1.67,3.19,4.86,Jalen Warley,2250,Gonzaga Bulldogs,1128.2245531451038
4897432,1.6,3.26,4.86,Sam Hoiberg,158,Nebraska Cornhuskers,1686.5688829907192
5107968,3.43,1.43,4.85,Ja'Kobi Gillespie,2633,Tennessee Volunteers,1886.7982776496035
5174983,2.07,2.78,4.85,Aday Mara,130,Michigan Wolverines,1383.6460380122564
5080489,2.24,2.57,4.8,Thomas Haugh,57,Florida Gators,1910.1579571190534
5248302,2.36,2.41,4.76,Killyan Toure,66,Iowa State Cyclones,1413.9157700284713
5174665,2.69,2.05,4.74,Zvonimir Ivisic,356,Illinois Fighting Illini,912.6746356081641
5240387,3.34,1.39,4.73,Tyler Behrend,202,Tulsa Golden Hurricane,1159.8574939915502
5174672,3.31,1.39,4.7,Michael Belle,2670,VCU Rams,1269.497806509925
5105854,4.07,0.61,4.68,Braden Smith,2509,Purdue Boilermakers,1949.5336665589393
5107251,1.95,2.71,4.66,Izaiyah Nelson,58,South Florida Bulls,1616.1921498676656
5150404,3.23,1.42,4.64,Chance Mallory,258,Virginia Cavaliers,1357.7525064899296
5176787,1.83,2.77,4.6,Emmanuel Innocenti,2250,Gonzaga Bulldogs,1287.7919778539008
5060700,2.13,2.47,4.6,Joseph Tugler,248,Houston Cougars,1286.1608792580719
5174657,2.34,2.25,4.59,Alex Condon,57,Florida Gators,1730.687839616993
4838721,3.45,1.11,4.56,Tyler Nickel,238,Vanderbilt Commodores,1825.929806518716
5183809,3.41,1.15,4.56,Ishan Sharma,139,Saint Louis Billikens,1287.2283457228589
5041937,2.43,2.13,4.56,Cayden Boozer,150,Duke Blue Devils,1234.8817135259842
4711256,2.91,1.63,4.54,Caleb Foster,150,Duke Blue Devils,1292.4711400822146
4703396,2.5,1.99,4.49,Graham Ike,2250,Gonzaga Bulldogs,1526.7743103755859
5242131,2.82,1.67,4.48,Owen Aquino,2272,High Point Panthers,1562.1179450187303
5105815,2.11,2.33,4.44,Jaxon Kohler,127,Michigan State Spartans,1473.7190351593429
5106272,1.34,3.1,4.44,Milos Uzan,248,Houston Cougars,1759.7498996276493
4917149,2.05,2.35,4.4,Alex Karaban,41,UConn Huskies,1883.6904876404633
5142621,1.93,2.43,4.36,Chris Cenac Jr.,248,Houston Cougars,1356.6822470799123
4873153,1.39,2.97,4.36,Morez Johnson Jr.,130,Michigan Wolverines,1482.3352375377783
5105837,3.13,1.21,4.35,Bruce Thornton,194,Ohio State Buckeyes,1971.7408229562866
5314778,2.29,2.05,4.34,Trevian Carson,2449,North Dakota State Bison,1807.7532083061117
5176084,1.58,2.76,4.34,Cam Cole,2426,Navy Midshipmen,1025.360155484066
5107355,2.83,1.48,4.31,Donovan Atwell,2641,Texas Tech Red Raiders,1866.1373467613905
5144124,1.64,2.64,4.28,Nikolas Khamenia,150,Duke Blue Devils,1091.2897555393386
5174973,3.56,0.71,4.26,Oscar Cluff,2509,Purdue Boilermakers,1360.3199516850277
5105619,1.82,2.42,4.24,Jayden Pierre,2628,TCU Horned Frogs,1670.7732751993099
5105449,1.76,2.48,4.23,RJ Godfrey,228,Clemson Tigers,1367.2745401003604
4837356,2.71,1.5,4.21,Tre Donaldson,2390,Miami Hurricanes,1898.6976984727428
5174623,2.57,1.63,4.2,David Green,202,Tulsa Golden Hurricane,1477.972012692463
4684276,3.46,0.69,4.15,Aden Holloway,333,Alabama Crimson Tide,1429.5192416934474
5060701,3.07,1.08,4.15,Christian Anderson,2641,Texas Tech Red Raiders,1998.848747566499
4896936,1.63,2.52,4.15,Damon Nicholas Jr.,2534,Sam Houston Bearkats,1544.1932478034767
5079838,1.87,2.27,4.14,Blake Buchanan,66,Iowa State Cyclones,1361.7001018890646
5238203,2.85,1.29,4.14,Somtochukwu Cyril,61,Georgia Bulldogs,1246.4844905266077
4702049,2.72,1.42,4.14,Duke Miles,238,Vanderbilt Commodores,1348.2080557551335
5107169,1.44,2.68,4.12,Xaivian Lee,57,Florida Gators,1620.0939453871604
5105464,2.08,2.04,4.12,Dallin Hall,258,Virginia Cavaliers,1572.8938427600397
5041951,3.2,0.91,4.12,Meleek Thomas,8,Arkansas Razorbacks,1836.656620148501
5240980,2.57,1.55,4.11,Mikey Lewis,2608,Saint Mary's Gaels,1408.289146638907
4683860,3.15,0.96,4.11,Quadir Copeland,152,NC State Wolfpack,1565.5722053582733
5241415,2.2,1.9,4.1,Nolan Minessale,2900,St. Thomas-Minnesota Tommies,1778.256419675918
4873183,1.5,2.59,4.09,Kam Williams,96,Kentucky Wildcats,709.4593534710308
5177185,2.86,1.21,4.08,Trevor Mullin,43,Yale Bulldogs,1346.2664641661297
5313012,1.84,2.23,4.08,Mario Saint-Supery,2250,Gonzaga Bulldogs,1307.0767262846052
5054083,2.67,1.39,4.06,Silas Demary Jr.,41,UConn Huskies,1637.6400286381158
5105809,2.1,1.9,4.0,Tarris Reed Jr.,41,UConn Huskies,1246.8972737528486
4712845,1.97,2.03,4.0,Isaac McKneely,97,Louisville Cardinals,1660.4395791951624
5106880,1.78,2.18,3.96,Jestin Porter,228,Clemson Tigers,1484.085377944829
4895753,1.63,2.32,3.95,Jayden Ross,41,UConn Huskies,891.1480400263964
5142718,2.94,1.01,3.95,AJ Dybantsa,252,BYU Cougars,2000.9574184954445
4698719,3.14,0.8,3.95,Trevon Brazile,8,Arkansas Razorbacks,1834.409768574757
5177736,2.16,1.78,3.94,Ben Humrichous,356,Illinois Fighting Illini,1188.8493667243322
5107904,2.12,1.81,3.94,Rob Martin,2272,High Point Panthers,1559.012866042322
4683944,3.34,0.59,3.93,Tyler Lundblade,2057,Belmont Bruins,1872.7849686788375
5108059,3.1,0.82,3.92,Tavari Johnson,2006,Akron Zips,1920.7490608216128
5241658,2.58,1.34,3.92,DeSean Goode,2523,Robert Morris Colonials,1660.9027086138262
5109020,2.2,1.71,3.9,Carter Bjerke,2900,St. Thomas-Minnesota Tommies,1388.696869283986
4895783,2.29,1.6,3.89,Nolan Winter,275,Wisconsin Badgers,1580.948697622726
5105642,1.86,2.02,3.88,Oziyah Sellers,2599,St. John's Red Storm,1721.6294050417587
5107864,1.93,1.95,3.88,Mason Falslev,328,Utah State Aggies,1833.6626717628758
5105794,2.75,1.12,3.87,Skyy Clark,26,UCLA Bruins,1102.2432732416164
5113969,3.07,0.79,3.86,Cameron Carr,239,Baylor Bears,1853.3131633139292
5311846,2.05,1.8,3.86,Thijs De Ridder,258,Virginia Cavaliers,1565.0703193104307
5174955,1.64,2.2,3.84,Paulius Murauskas,2608,Saint Mary's Gaels,1695.5196935626577
5105462,2.62,1.22,3.84,Richie Saunders,252,BYU Cougars,1339.5725631946223
5243088,0.71,3.1,3.81,Jerald Colonel,2617,Stephen F. Austin Lumberjacks,1365.404371943638
4837238,2.43,1.37,3.81,Tucker DeVries,84,Indiana Hoosiers,1803.2232072027905
4838703,1.61,2.18,3.8,Tyler Hendricks,3084,Utah Valley Wolverines,1396.6040552687978
5254340,1.53,2.26,3.79,Uriah Tenette,167,New Mexico Lobos,1496.4103277507031
4897438,2.87,0.91,3.78,Trey Kaufman-Renn,2509,Purdue Boilermakers,1501.384187553197
4432175,1.79,1.98,3.77,Adam Miller,2250,Gonzaga Bulldogs,1143.0289132912571
4565698,1.9,1.87,3.77,Bryce Hopkins,2599,St. John's Red Storm,1684.3036213435983
5174957,2.39,1.36,3.75,Conrad Martinez,2272,High Point Panthers,1345.2381285411666
5174661,3.07,0.66,3.73,Blue Cain,61,Georgia Bulldogs,1614.081169429149
5164559,1.71,2.02,3.73,Nate Ament,2633,Tennessee Volunteers,1526.0397570213495
4700527,1.48,2.24,3.73,Tyon Grant-Foster,2250,Gonzaga Bulldogs,1265.562793217994
4898283,2.73,0.99,3.72,Boopie Miller,2567,SMU Mustangs,1963.1797756691487
4897768,1.44,2.28,3.72,Bryce Harris,47,Howard Bison,1800.7763828067302
5176788,1.9,1.82,3.72,Bubu Benjamin,45,George Washington Revolutionaries,977.3158716414113
4684155,2.23,1.48,3.71,John Camden,25,California Golden Bears,1737.4663966008125
5077373,1.35,2.36,3.71,Garwey Dual,2377,McNeese Cowboys,1378.2590263926047
4699760,1.65,2.05,3.69,Joseph Pinion,58,South Florida Bulls,1776.5428705541826
5106262,1.58,2.11,3.69,Zuby Ejiofor,2599,St. John's Red Storm,1771.9903030805317
4685659,2.32,1.37,3.69,Brady Dunlap,139,Saint Louis Billikens,972.6396945849705
4702784,2.64,1.04,3.67,J'Vonne Hadley,97,Louisville Cardinals,1556.4873161322373
5105658,0.76,2.9,3.66,Dylan Darling,2599,St. John's Red Storm,1183.3790608086165
4703115,2.65,0.99,3.65,Jaron Pierre Jr.,2567,SMU Mustangs,1886.0568352963285
5311832,2.5,1.13,3.62,David Mirkovic,356,Illinois Fighting Illini,1545.8106170738265
4838717,1.76,1.85,3.61,Patrick Wessler,350,UNC Wilmington Seahawks,1416.303180621377
5176232,1.93,1.68,3.61,Sam Lewis,258,Virginia Cavaliers,1426.174697765674
5060709,2.77,0.84,3.61,Robert Wright III,252,BYU Cougars,1993.599855238607
5239838,2.7,0.91,3.61,Matas Vokietaitis,251,Texas Longhorns,1394.521373717088
4870569,1.36,2.24,3.6,Duke Brennan,222,Villanova Wildcats,1577.5475591760871
4873184,2.73,0.86,3.59,Aiden Sherrell,333,Alabama Crimson Tide,1358.5253351488404
5221321,1.7,1.89,3.58,Jaylen Petty,2641,Texas Tech Red Raiders,1581.8940753875413
5176632,1.65,1.93,3.58,Jackson Holcombe,3084,Utah Valley Wolverines,1695.4780765483342
4702654,2.62,0.96,3.58,Nick Boyd,275,Wisconsin Badgers,1860.4249259139408
5142620,2.86,0.71,3.57,Darius Acuff Jr.,8,Arkansas Razorbacks,2071.403468610552
4896852,2.67,0.89,3.56,Scotty Washington,2272,High Point Panthers,1139.9041551388168
4898210,1.6,1.96,3.56,Nana Owusu-Anane,2253,Grand Canyon Lopes,1801.6231416267424
4684269,2.32,1.24,3.55,Kylan Boswell,356,Illinois Fighting Illini,1258.8545603806065
5095151,1.95,1.6,3.55,Caleb Wilson,153,North Carolina Tar Heels,1269.2703787751398
5093252,2.18,1.37,3.55,Eian Elmer,193,Miami (OH) RedHawks,1662.216861971695
5093142,2.07,1.46,3.53,J.P. Estrella,2633,Tennessee Volunteers,856.267556761063
5241471,2.46,1.07,3.53,Eric Mahaffey,2006,Akron Zips,1298.4549405252317
5177516,1.28,2.25,3.52,Chrishawn Christmas,2617,Stephen F. Austin Lumberjacks,1605.8369552806203
5239821,1.75,1.77,3.52,Martin Somerville,52,Florida State Seminoles,1494.605158546609
5241754,3.25,0.26,3.51,Isaac Celiscar,43,Yale Bulldogs,1507.1107993473847
5175368,1.71,1.78,3.49,Lazar Djokovic,2670,VCU Rams,1549.378113198019
5177301,1.19,2.29,3.48,Melvin Council Jr.,2305,Kansas Jayhawks,1936.5458241002161
5108060,2.56,0.93,3.48,Amani Lyles,2006,Akron Zips,1577.418904446727
5243053,2.42,1.06,3.48,Brant Byers,193,Miami (OH) RedHawks,1695.9013892360097
5313031,1.81,1.65,3.46,Dillan Shaw,2608,Saint Mary's Gaels,1428.5343569049912
5241334,1.59,1.86,3.46,Jabez Jenkins,2057,Belmont Bruins,1336.2354374794481
5174614,0.69,2.77,3.46,Jayden Ndjigue,113,Massachusetts Minutemen,1565.8998475112346
5187600,2.43,1.01,3.44,Tyler Tanner,238,Vanderbilt Commodores,1971.723664267875
5315806,1.31,2.13,3.44,Tristan Smith,2460,Northern Iowa Panthers,887.0130270550713
5106283,1.4,2.03,3.44,Dillon Mitchell,2599,St. John's Red Storm,1641.422143759094
5107242,1.57,1.85,3.42,Dion Brown,139,Saint Louis Billikens,1392.5324415406028
5177104,0.72,2.7,3.42,Jasper Floyd,277,West Virginia Mountaineers,1419.725340694011
4701125,1.26,2.15,3.41,Javohn Garcia,2377,McNeese Cowboys,1363.0893322906334
5101833,3.03,0.38,3.41,Amari Allen,333,Alabama Crimson Tide,1503.0979430926177
4703912,1.44,1.97,3.41,Nate Heise,66,Iowa State Cyclones,1405.7432705474318
5105494,2.86,0.55,3.4,Drake Allen,328,Utah State Aggies,1401.1844277871844
4872740,2.04,1.36,3.4,Coen Carr,127,Michigan State Spartans,1529.8455524997605
5176241,1.45,1.92,3.38,BJ Davis,21,San Diego State Aztecs,1282.3804968050215
5313566,2.38,0.99,3.37,Ade Popoola,202,Tulsa Golden Hurricane,1561.0470691478395
5041958,1.57,1.78,3.36,Bryson Tiller,2305,Kansas Jayhawks,1413.9674491066376
5106674,2.89,0.46,3.36,Peter Suder,193,Miami (OH) RedHawks,1630.5215473671299
5176153,1.86,1.49,3.35,Marcus Hill,245,Texas A&M Aggies,1266.0226058776982
5107174,2.51,0.84,3.35,Nick Townsend,43,Yale Bulldogs,1580.015596022856
5105552,2.3,1.04,3.34,B.J. Edwards,2567,SMU Mustangs,1646.216791325341
5164368,0.71,2.62,3.33,David Punch,2628,TCU Horned Frogs,1629.8405841543038
5238200,2.51,0.82,3.33,Urban Klavzar,57,Florida Gators,1245.155646619806
5105527,2.1,1.22,3.32,Denzel Aberdeen,96,Kentucky Wildcats,1764.1181583808996
5060732,1.94,1.37,3.31,Billy Richmond III,8,Arkansas Razorbacks,1651.8025523526255
5103630,2.47,0.85,3.31,John Blackwell,275,Wisconsin Badgers,1892.228236212734
5105672,1.65,1.66,3.31,Braeden Smith,2250,Gonzaga Bulldogs,1010.9206392019447
5262601,1.85,1.46,3.31,Khadim Mboup,252,BYU Cougars,854.1487590785965
5176681,2.72,0.58,3.3,Marcus Millender,61,Georgia Bulldogs,1486.6929833972013
4684596,2.05,1.23,3.29,Will Tschetter,130,Michigan Wolverines,847.3286783000779
5075626,0.51,2.77,3.28,Baba Miller,2132,Cincinnati Bearcats,1685.2508589419242
5114350,2.38,0.9,3.28,AK Okereke,238,Vanderbilt Commodores,1504.8607321488994
5241411,2.69,0.59,3.28,Miles Barnstable,202,Tulsa Golden Hurricane,1627.57961887967
5183925,2.21,1.06,3.27,CJ Brown,58,South Florida Bulls,1606.1826639618032
5107298,2.43,0.83,3.26,Donovan Oday,94,Northern Kentucky Norse,1769.444803561756
4873202,1.66,1.6,3.26,Isaac Davis,3084,Utah Valley Wolverines,1044.739526845272
4897474,1.15,2.11,3.25,Ben Schwieger,2460,Northern Iowa Panthers,1516.4095284210327
4873111,1.32,1.93,3.25,Kur Teng,127,Michigan State Spartans,942.0389451871993
5239571,2.29,0.96,3.25,Braden Frager,158,Nebraska Cornhuskers,1181.5866152770375
5106732,1.59,1.65,3.24,Noah Ross,350,UNC Wilmington Seahawks,1542.2279847922905
5106254,1.28,1.96,3.24,Tamin Lipsey,66,Iowa State Cyclones,1645.4794572335452
5196931,1.73,1.5,3.23,Jordan Scott,127,Michigan State Spartans,1129.3152701962736
5188026,1.07,2.14,3.21,Luke Haupt,167,New Mexico Lobos,1574.3646666809777
5313007,0.3,2.91,3.21,Tama Isaac,300,UC Irvine Anteaters,1623.1081961120615
5115458,2.19,1.01,3.21,Sean Craig,2649,Toledo Rockets,1842.7524064673617
4873151,2.87,0.32,3.19,Paul McNeil Jr.,152,NC State Wolfpack,1573.5049140201158
5110039,2.97,0.2,3.17,Corey Washington,2567,SMU Mustangs,1572.4729971031163
4917161,2.42,0.75,3.17,Armani Mighty,2382,Mercer Bears,1718.4863828662512
5242127,1.73,1.44,3.17,Adrian Wooley,97,Louisville Cardinals,1286.7401076424617
4712846,1.78,1.39,3.17,Jaden Schutt,259,Virginia Tech Hokies,1344.8821114928407
5105798,2.21,0.95,3.16,Malik Reneau,2390,Miami Hurricanes,1624.4631551383156
5175007,2.35,0.81,3.16,Andrej Stojakovic,356,Illinois Fighting Illini,1274.494694460232
5060708,2.43,0.72,3.15,John Mobley Jr.,194,Ohio State Buckeyes,1559.2758284989548
5175032,0.59,2.56,3.15,Day Day Thomas,2132,Cincinnati Bearcats,1706.7045313808576
4906515,2.2,0.95,3.15,Kody Clouet,2737,Winthrop Eagles,1705.1506320315593
5313853,0.66,2.48,3.14,Ty'Reek Coleman,2287,Illinois State Redbirds,1201.869315712912
5239713,1.96,1.18,3.14,Brandon Jennings,2670,VCU Rams,1415.9810949006735
4873147,1.58,1.56,3.14,Taj DeGourville,21,San Diego State Aztecs,1109.0471952985613
5178210,2.47,0.66,3.14,Tylen Riley,202,Tulsa Golden Hurricane,1500.2214214598214
5107157,2.66,0.46,3.12,Ryan Conwell,97,Louisville Cardinals,1706.927580990421
5101761,1.82,1.29,3.11,Mikel Brown Jr.,97,Louisville Cardinals,1103.6867888011998
5109790,2.25,0.85,3.11,Christoph Tilly,194,Ohio State Buckeyes,1308.4005334608175
5241640,1.36,1.74,3.1,Andy Stefonowicz,2449,North Dakota State Bison,1875.0425306295406
5176481,1.38,1.72,3.1,Andrew McKeever,2608,Saint Mary's Gaels,1207.7533643773236
5107271,1.75,1.35,3.1,Cam Morris III,2193,East Tennessee State Buccaneers,1369.1394297513937
5105857,1.96,1.14,3.1,Will Berg,2724,Wichita State Shockers,1180.1720384808245
5093250,1.46,1.63,3.1,Jordan Clayton,77,Northwestern Wildcats,896.9915461710264
5241363,1.77,1.33,3.1,Tavion Banks,2294,Iowa Hawkeyes,1237.2992403928658
5143604,1.44,1.65,3.1,JT Toppin,2641,Texas Tech Red Raiders,1482.845069260685
4873181,2.09,1.0,3.09,Jarin Stevenson,153,North Carolina Tar Heels,1388.0599324099774
5101849,1.62,1.48,3.09,Malachi Moreno,96,Kentucky Wildcats,1348.8227781307205
5107163,1.04,2.06,3.09,Elijah Chol,300,UC Irvine Anteaters,740.5167358181981
4709141,2.5,0.59,3.09,Houston Mallette,333,Alabama Crimson Tide,1383.4017145130485
5105811,2.24,0.85,3.09,Dan Skillings Jr.,239,Baylor Bears,1231.9931626618823
5106037,1.69,1.39,3.08,Keon Thompson,2617,Stephen F. Austin Lumberjacks,1611.181206850808
5107287,0.2,2.89,3.08,Treysen Eaglestaff,277,West Virginia Mountaineers,1484.9816563690272
5107508,1.57,1.52,3.08,Kenyon Giles,2724,Wichita State Shockers,1956.3906442502916
5182413,1.28,1.8,3.07,Sam Brown,2166,Davidson Wildcats,1152.8594402813019
5196913,1.24,1.83,3.07,Davis Fogle,2250,Gonzaga Bulldogs,782.39503423171
5101653,2.4,0.67,3.07,Luke Skaljac,193,Miami (OH) RedHawks,1451.5149415497935
5176311,1.26,1.8,3.06,Brigham Rogers,2057,Belmont Bruins,994.1455425001059
5258459,2.05,1.01,3.06,Ebuka Okorie,24,Stanford Cardinal,1754.7673039773238
5037878,1.32,1.74,3.06,Ugonna Onyenso,258,Virginia Cavaliers,998.4902555910492
4592579,1.77,1.29,3.06,Steele Venters,2250,Gonzaga Bulldogs,724.0172867383485
4897209,2.01,1.05,3.06,Brenton Knapper,2541,Santa Clara Broncos,1203.737041396909
5061598,0.88,2.17,3.05,JT Rock,167,New Mexico Lobos,714.116442655633
5060703,1.47,1.58,3.05,Elijah Crawford,82,UIC Flames,878.7081912404775
5241338,0.35,2.69,3.04,Austin Maurer,2547,Seattle U Redhawks,1037.7014435919841
4873187,1.47,1.56,3.04,Khani Rooths,97,Louisville Cardinals,827.2565429678629
5177098,2.12,0.91,3.03,Jean Aranguren,45,George Washington Revolutionaries,1395.0139269487413
5105859,1.61,1.42,3.03,Antwone Woolfolk,193,Miami (OH) RedHawks,1263.6255171481619
5177122,0.9,2.13,3.03,De'Shayne Montgomery,2168,Dayton Flyers,1708.1219727693292
5176351,1.17,1.86,3.03,Ty Pence,2287,Illinois State Redbirds,1232.771565638332
5175787,1.34,1.68,3.02,Mahmoud Fofana,2463,Cal State Northridge Matadors,1855.682328102037
5105546,2.44,0.58,3.02,Malique Ewin,8,Arkansas Razorbacks,1222.184808865731
5107204,1.42,1.59,3.02,Harry Rouhliadeff,62,Hawai'i Rainbow Warriors,1330.284103056462
5105836,1.43,1.59,3.01,Roddy Gayle Jr.,130,Michigan Wolverines,1190.7535363321379
5106588,1.96,1.05,3.01,Jo'el Emanuel,2729,William & Mary Tribe,1240.7538674450434
5060727,1.49,1.5,3.0,Tyler Thompson,149,Montana Grizzlies,1675.570827043932
4433512,1.74,1.26,3.0,Jahari Long,2244,George Mason Patriots,1712.4476030172555
5311890,1.59,1.41,3.0,Nyk Lewis,2670,VCU Rams,1370.547742233395
4895737,1.09,1.91,2.99,Solo Ball,41,UConn Huskies,1599.7112538510492
5106652,2.41,0.57,2.98,Shammah Scott,2006,Akron Zips,1571.5299930271149
5108062,2.34,0.64,2.98,Ryan Prather Jr.,2523,Robert Morris Colonials,1828.6969407771796
5176359,1.9,1.07,2.98,Christian Hammond,2541,Santa Clara Broncos,1692.9262527594863
5105821,1.46,1.51,2.97,Jaden Henley,2253,Grand Canyon Lopes,1729.4580797538295
4576062,3.26,-0.3,2.97,Nijel Pack,201,Oklahoma Sooners,1731.3886150021415
5313560,1.85,1.12,2.97,Wes Enis,58,South Florida Bulls,1897.2686849918648
5241069,2.23,0.73,2.96,Elijah Mahi,2541,Santa Clara Broncos,1744.6962115430206
4873161,1.1,1.86,2.96,Jordan McCullum,2193,East Tennessee State Buccaneers,1169.9840509538465
4702962,0.69,2.26,2.95,Justice Ajogbor,2603,Saint Joseph's Hawks,1379.011586363895
5176317,1.25,1.7,2.94,Elijah Price,2440,Nevada Wolf Pack,1661.0485189418393
5105624,2.38,0.57,2.94,Jordan Pope,251,Texas Longhorns,1543.6792310021697
5236222,1.57,1.37,2.94,Preston Edmead,2275,Hofstra Pride,1867.5173210032667
5108909,0.85,2.08,2.93,Greedy Williams,350,UNC Wilmington Seahawks,1612.8370879345312
5176310,2.0,0.93,2.93,Sam Orme,2057,Belmont Bruins,1309.4618317541615
5119095,1.34,1.59,2.93,JJ Harper,2335,Liberty Flames,1369.4300166095268
5176283,0.96,1.96,2.93,Cam Manyawu,2294,Iowa Hawkeyes,943.894120965999
5105825,1.15,1.77,2.92,Jamarques Lawrence,158,Nebraska Cornhuskers,1508.93420759028
5176354,1.29,1.63,2.92,Chase Walker,2287,Illinois State Redbirds,1072.2449909988106
5174557,2.31,0.6,2.92,Naithan George,183,Syracuse Orange,1734.1880043098693
5176333,1.35,1.57,2.91,Koree Cotton,292,UT Rio Grande Valley Vaqueros,1458.1791325462311
5314226,1.37,1.54,2.91,Mynor Strong,2649,Toledo Rockets,1013.448210899052
5177275,0.74,2.17,2.91,Adam Clark,2550,Seton Hall Pirates,1636.9907520638424
5214641,1.52,1.39,2.91,L.J. Cason,130,Michigan Wolverines,941.7705880206637
5176349,1.02,1.88,2.91,Jaden Daughtry,257,Richmond Spiders,867.4397053947677
5101809,1.41,1.49,2.9,Shelton Henderson,2390,Miami Hurricanes,1754.4121052591076
5241592,1.45,1.45,2.9,Braden Hausen,2272,High Point Panthers,1225.1656868342654
4791227,1.45,1.45,2.9,Devin McGlockton,238,Vanderbilt Commodores,1505.2800727358306
5174815,1.5,1.39,2.89,Gavin Walsh,350,UNC Wilmington Seahawks,666.1859779245602
4711271,1.73,1.16,2.89,Carl Cherenfant,2377,McNeese Cowboys,836.9846817507288
5108973,0.89,2.0,2.89,Garry Clark,328,Utah State Aggies,930.2366775186495
4701217,0.62,2.26,2.89,Hunter Erickson,62,Hawai'i Rainbow Warriors,1757.4024706044067
5093253,0.8,2.08,2.88,Kyan Evans,153,North Carolina Tar Heels,990.6886156738746
5105468,1.2,1.68,2.88,Trevan Leonhardt,3084,Utah Valley Wolverines,1900.1402164837175
5144375,1.93,0.95,2.88,Larry Johnson,2377,McNeese Cowboys,1365.9456762289049
5242999,0.97,1.89,2.87,Andrija Bukumirovic,2630,UT Martin Skyhawks,1479.801363310151
4685647,1.2,1.66,2.87,Jaylin Stewart,41,UConn Huskies,801.2986624213398
5105698,0.54,2.32,2.86,Aidan Kehoe,2426,Navy Midshipmen,1753.7204728925167
4702158,0.3,2.56,2.85,Martel Williams,2856,California Baptist Lancers,1713.3167347228416
5106599,0.82,2.03,2.85,Javon Bennett,2168,Dayton Flyers,1996.2429136825065
5105594,2.59,0.26,2.85,Tae Davis,201,Oklahoma Sooners,1675.6599802223188
5312926,0.85,1.99,2.85,Luke Moore,2110,Central Arkansas Bears,1739.9873103575644
5144372,2.25,0.59,2.84,Isaiah Brown,57,Florida Gators,700.6261955863002
5239632,1.49,1.35,2.84,Joshua DeCady,2275,Hofstra Pride,1237.940529402836
5106293,1.55,1.29,2.84,Mohamed Wague,201,Oklahoma Sooners,1268.0442816466816
5241470,1.32,1.49,2.82,Sharron Young,2006,Akron Zips,1139.4651216102416
